Problem size,Direct sum,Vector sum,Indirect sum
8388608,0,0.3922537565,0.7131279111
16777216,0,0.361856997,2.021376669
33554432,0,0.3644423187,2.476233333
67108864,0,0.3475035876,2.767982326
134217728,0,0.3205830827,2.58213852
268435456,0,0.3182823434,7.570397509
