Problem size,Direct sum,Vector sum,Indirect sum
8388608,0,9.958476968,2.738814411
16777216,0,10.79501027,0.9662350563
33554432,0,10.71843142,0.7887483678
67108864,0,11.24089114,0.7056132481
134217728,0,12.18482886,0.7563982277
268435456,0,12.27290825,0.2579950389
