Problem size,Direct sum,Vector sum,Indirect sum
8388608,3273.707881,2549.370104,701.1364893
16777216,3371.650047,2763.52263,247.3561744
33554432,3416.186758,2743.918444,201.9195822
67108864,3500.758276,2877.668133,180.6369915
134217728,3491.780921,3119.316189,193.6379463
268435456,3506.02175,3141.864513,66.04672996
